timestamp	sai2::optitrack::rigid_body_pos::1	sai2::optitrack::rigid_body_pos::2	sai2::optitrack::rigid_body_pos::3	sai2::optitrack::rigid_body_pos::4	sai2::optitrack::rigid_body_pos::5	sai2::optitrack::rigid_body_pos::6	sai2::optitrack::rigid_body_ori::1	sai2::optitrack::rigid_body_ori::2	sai2::optitrack::rigid_body_ori::3	sai2::optitrack::rigid_body_ori::4	sai2::optitrack::rigid_body_ori::5	sai2::optitrack::rigid_body_ori::6
2024-07-17 10:44:38.677855	[-0.4758101999759674, 1.569050669670105, 0.23453442752361298]	[-0.5559176206588745, 0.10377068817615509, 0.17550848424434662]	[-0.6144276857376099, 0.7690101861953735, 0.01897754706442356]	[-0.42502403259277344, 0.9915594458580017, 0.18301667273044586]	[-0.3891240656375885, 0.13072063028812408, 0.30166563391685486]	[-0.1994001716375351, 0.7495018243789673, 0.22764721512794495]	[0.0068804495967924595, -0.42569810152053833, -0.046296246349811554, 0.9036539793014526]	[0.008062372915446758, -0.1257636994123459, 0.016114896163344383, 0.9918965697288513]	[0.012912913225591183, 0.12814070284366608, 0.02136600762605667, 0.9914417862892151]	[-0.202548086643219, -0.24936746060848236, -0.08501332998275757, 0.9431664347648621]	[-0.016093969345092773, -0.18566809594631195, 0.00433683767914772, 0.9824711680412292]	[0.19156138598918915, -0.8859689235687256, -0.22311238944530487, -0.35858654975891113]
2024-07-17 10:44:38.689173	[-0.47577255964279175, 1.5690473318099976, 0.2345663160085678]	[-0.5559182167053223, 0.1037912368774414, 0.17551088333129883]	[-0.6143255829811096, 0.7690154910087585, 0.018949788063764572]	[-0.4249711334705353, 0.9915881156921387, 0.18299070000648499]	[-0.3891180455684662, 0.13074174523353577, 0.3016585111618042]	[-0.1994001716375351, 0.7495018243789673, 0.22764721512794495]	[0.007209714036434889, -0.42530158162117004, -0.04617030546069145, 0.9038445353507996]	[0.00801831018179655, -0.1257411390542984, 0.016130244359374046, 0.9918996095657349]	[0.01288610603660345, 0.12816792726516724, 0.021353820338845253, 0.9914388656616211]	[-0.2025577425956726, -0.24936003983020782, -0.08512303233146667, 0.9431564807891846]	[-0.016027256846427917, -0.18572820723056793, 0.004251682199537754, 0.9824612736701965]	[0.19156138598918915, -0.8859689235687256, -0.22311238944530487, -0.35858654975891113]
2024-07-17 10:44:38.700371	[-0.4757366180419922, 1.5690439939498901, 0.23457573354244232]	[-0.5559214949607849, 0.10378646850585938, 0.17549853026866913]	[-0.6142730712890625, 0.769020140171051, 0.01894054189324379]	[-0.4249795973300934, 0.9916141033172607, 0.18299272656440735]	[-0.3891168236732483, 0.13074293732643127, 0.30166447162628174]	[-0.1994001716375351, 0.7495018243789673, 0.22764721512794495]	[0.007272578775882721, -0.425157368183136, -0.046054448932409286, 0.9039177298545837]	[0.007996644824743271, -0.1258181929588318, 0.0162256620824337, 0.9918884634971619]	[0.012903568334877491, 0.12810973823070526, 0.021302474662661552, 0.9914472103118896]	[-0.20256125926971436, -0.2493731528520584, -0.08530362695455551, 0.9431358575820923]	[-0.016204196959733963, -0.18561328947544098, 0.004134447779506445, 0.9824805855751038]	[0.19156138598918915, -0.8859689235687256, -0.22311238944530487, -0.35858654975891113]
2024-07-17 10:44:38.712117	[-0.47570639848709106, 1.5690398216247559, 0.2345893383026123]	[-0.5558996796607971, 0.1037968099117279, 0.17550362646579742]	[-0.6142224073410034, 0.7690172791481018, 0.018936628475785255]	[-0.42494088411331177, 0.9915881156921387, 0.1829834133386612]	[-0.3891187906265259, 0.13074089586734772, 0.3016621172428131]	[-0.1994001716375351, 0.7495018243789673, 0.22764721512794495]	[0.0072948322631418705, -0.424940824508667, -0.04601094126701355, 0.9040216207504272]	[0.008081063628196716, -0.12573274970054626, 0.01625436171889305, 0.9918980598449707]	[0.012950264848768711, 0.12806150317192078, 0.02137400396168232, 0.9914513230323792]	[-0.20243990421295166, -0.2493385672569275, -0.08524704724550247, 0.9431761503219604]	[-0.016186794266104698, -0.1856500506401062, 0.004095645621418953, 0.982474148273468]	[0.19156138598918915, -0.8859689235687256, -0.22311238944530487, -0.35858654975891113]
2024-07-17 10:44:38.723535	[-0.4756355285644531, 1.5690196752548218, 0.23459772765636444]	[-0.5559093356132507, 0.10378915816545486, 0.1755131334066391]	[-0.6141097545623779, 0.7690214514732361, 0.018919318914413452]	[-0.42487818002700806, 0.991571307182312, 0.18295662105083466]	[-0.38911500573158264, 0.1307431161403656, 0.3016662895679474]	[-0.1994001716375351, 0.7495018243789673, 0.22764721512794495]	[0.007349603809416294, -0.42459574341773987, -0.04584410786628723, 0.9041918516159058]	[0.007703824900090694, -0.1258041113615036, 0.016094911843538284, 0.9918946623802185]	[0.012907245196402073, 0.1280231922864914, 0.021449347957968712, 0.9914551973342896]	[-0.20236094295978546, -0.2493887096643448, -0.08533159643411636, 0.94317227602005]	[-0.016167353838682175, -0.18574808537960052, 0.0040918923914432526, 0.982455849647522]	[0.19156138598918915, -0.8859689235687256, -0.22311238944530487, -0.35858654975891113]
2024-07-17 10:44:38.734843	[-0.47557878494262695, 1.569012999534607, 0.2346077710390091]	[-0.5559114217758179, 0.1037839874625206, 0.17550218105316162]	[-0.6140492558479309, 0.7690215706825256, 0.018914926797151566]	[-0.4248597025871277, 0.9915880560874939, 0.1829526424407959]	[-0.38909944891929626, 0.13073930144309998, 0.3016688823699951]	[-0.1994001716375351, 0.7495018243789673, 0.22764721512794495]	[0.0072859665378928185, -0.42444512248039246, -0.04573531448841095, 0.9042685031890869]	[0.007827918976545334, -0.12575402855873108, 0.016092292964458466, 0.9919000864028931]	[0.012944446876645088, 0.12806852161884308, 0.021400246769189835, 0.9914500117301941]	[-0.20234638452529907, -0.2493528127670288, -0.08535242825746536, 0.9431829452514648]	[-0.016059674322605133, -0.18572643399238586, 0.0041528563015162945, 0.9824615120887756]	[0.19156138598918915, -0.8859689235687256, -0.22311238944530487, -0.35858654975891113]
2024-07-17 10:44:38.746352	[-0.47549712657928467, 1.5689918994903564, 0.23461253941059113]	[-0.555895984172821, 0.10378073155879974, 0.17548784613609314]	[-0.6139227747917175, 0.7690667510032654, 0.018888214603066444]	[-0.42485132813453674, 0.991585910320282, 0.1829528957605362]	[-0.3891025185585022, 0.13073158264160156, 0.3016705811023712]	[-0.1994001716375351, 0.7495018243789673, 0.22764721512794495]	[0.0074331569485366344, -0.42404285073280334, -0.04562908038496971, 0.9044613838195801]	[0.007840932346880436, -0.12580588459968567, 0.01613648794591427, 0.9918926954269409]	[0.012987131252884865, 0.12829646468162537, 0.021694108843803406, 0.9914135932922363]	[-0.2024182677268982, -0.24939358234405518, -0.0853697881102562, 0.9431551694869995]	[-0.016187479719519615, -0.1856834888458252, 0.00403156504034996, 0.9824680685997009]	[0.19156138598918915, -0.8859689235687256, -0.22311238944530487, -0.35858654975891113]
2024-07-17 10:44:38.758338	[-0.4754524528980255, 1.5689918994903564, 0.23461736738681793]	[-0.5558980107307434, 0.10380059480667114, 0.17548537254333496]	[-0.6138734817504883, 0.769049346446991, 0.018889248371124268]	[-0.42478621006011963, 0.9916130900382996, 0.18293708562850952]	[-0.389096200466156, 0.13074848055839539, 0.3016613721847534]	[-0.1994001716375351, 0.7495018243789673, 0.22764721512794495]	[0.007549860514700413, -0.42391955852508545, -0.04560575634241104, 0.9045194387435913]	[0.007920200936496258, -0.12567190825939178, 0.015900954604148865, 0.991912841796875]	[0.013067471794784069, 0.12849053740501404, 0.02155236341059208, 0.9913904666900635]	[-0.2023053765296936, -0.24935868382453918, -0.08544383943080902, 0.9431819319725037]	[-0.01605731062591076, -0.1856463998556137, 0.004250399302691221, 0.9824762344360352]	[0.19156138598918915, -0.8859689235687256, -0.22311238944530487, -0.35858654975891113]
2024-07-17 10:44:38.769861	[-0.47542616724967957, 1.5689867734909058, 0.23462451994419098]	[-0.5558887124061584, 0.10380189120769501, 0.17548859119415283]	[-0.6138572692871094, 0.7690762281417847, 0.01890513114631176]	[-0.42474883794784546, 0.9916276931762695, 0.18294595181941986]	[-0.38908466696739197, 0.13072912395000458, 0.3016550838947296]	[-0.1994001716375351, 0.7495018243789673, 0.22764721512794495]	[0.007557895500212908, -0.42378267645835876, -0.0455906018614769, 0.9045842885971069]	[0.00786561705172062, -0.12576636672019958, 0.016005640849471092, 0.9918996095657349]	[0.013073326088488102, 0.1285625547170639, 0.021632323041558266, 0.9913792610168457]	[-0.20243355631828308, -0.24937386810779572, -0.08544835448265076, 0.943149983882904]	[-0.01621946319937706, -0.1856449693441391, 0.004034626763314009, 0.9824747443199158]	[0.19156138598918915, -0.8859689235687256, -0.22311238944530487, -0.35858654975891113]
2024-07-17 10:44:38.781487	[-0.47537150979042053, 1.5689642429351807, 0.23462717235088348]	[-0.5558925867080688, 0.10378614068031311, 0.175491064786911]	[-0.613789975643158, 0.7690403461456299, 0.018900666385889053]	[-0.42466744780540466, 0.991618812084198, 0.18294991552829742]	[-0.3890875577926636, 0.13073959946632385, 0.30165359377861023]	[-0.1994001716375351, 0.7495018243789673, 0.22764721512794495]	[0.007501077372580767, -0.4237036406993866, -0.04554850235581398, 0.9046238660812378]	[0.0077499463222920895, -0.12574733793735504, 0.01597573235630989, 0.9919033646583557]	[0.013086277060210705, 0.12873926758766174, 0.021572552621364594, 0.9913574457168579]	[-0.2023620903491974, -0.24935398995876312, -0.08524513989686966, 0.9431890249252319]	[-0.016132527962327003, -0.18571504950523376, 0.004137486219406128, 0.9824625253677368]	[0.19156138598918915, -0.8859689235687256, -0.22311238944530487, -0.35858654975891113]
