timestamp	sai2::optitrack::rigid_body_pos::1	sai2::optitrack::rigid_body_pos::2	sai2::optitrack::rigid_body_pos::3	sai2::optitrack::rigid_body_pos::4	sai2::optitrack::rigid_body_pos::5	sai2::optitrack::rigid_body_pos::6	sai2::optitrack::rigid_body_ori::1	sai2::optitrack::rigid_body_ori::2	sai2::optitrack::rigid_body_ori::3	sai2::optitrack::rigid_body_ori::4	sai2::optitrack::rigid_body_ori::5	sai2::optitrack::rigid_body_ori::6
2024-07-17 10:45:23.549890	[-0.4711741507053375, 1.5703479051589966, 0.21867604553699493]	[-0.5555893182754517, 0.10391721874475479, 0.17469535768032074]	[-0.639773964881897, 0.7739610075950623, 0.023661641404032707]	[-0.4277031123638153, 0.9916076064109802, 0.1771838217973709]	[-0.38958707451820374, 0.1307269036769867, 0.300952672958374]	[-0.1997704952955246, 0.7522425651550293, 0.2588355839252472]	[-0.004106460139155388, -0.4284537136554718, -0.05027034506201744, 0.9021549224853516]	[0.005463677924126387, -0.12479379028081894, 0.017321674153208733, 0.9920164346694946]	[0.03636590763926506, 0.2496955543756485, 0.036382488906383514, 0.9669570922851562]	[-0.21120409667491913, -0.2629758417606354, -0.08638474345207214, 0.937429666519165]	[-0.01601303368806839, -0.1920669674873352, 0.0071842665784060955, 0.9812249541282654]	[0.17523525655269623, -0.9032645225524902, 0.0018399936379864812, -0.3916662931442261]
2024-07-17 10:45:23.561282	[-0.47126564383506775, 1.570359706878662, 0.2184889316558838]	[-0.555604875087738, 0.10390070080757141, 0.17467394471168518]	[-0.6398318409919739, 0.773973822593689, 0.023510318249464035]	[-0.42771637439727783, 0.9915610551834106, 0.177103191614151]	[-0.389603853225708, 0.13073158264160156, 0.3009284436702728]	[-0.19965088367462158, 0.7523007392883301, 0.25866591930389404]	[-0.004223284311592579, -0.428462952375412, -0.05020264908671379, 0.902153730392456]	[0.005413358565419912, -0.12486276775598526, 0.017443301156163216, 0.9920058846473694]	[0.03646216541528702, 0.24956446886062622, 0.0362970270216465, 0.9669905304908752]	[-0.21152172982692719, -0.26277050375938416, -0.08644067496061325, 0.9374103546142578]	[-0.0159588772803545, -0.19215454161167145, 0.007221582345664501, 0.981208324432373]	[0.17506422102451324, -0.9034898281097412, -0.0003617716138251126, -0.39122700691223145]
2024-07-17 10:45:23.572730	[-0.47135573625564575, 1.5703438520431519, 0.21830777823925018]	[-0.555604875087738, 0.1039091944694519, 0.17467528581619263]	[-0.6399025917053223, 0.7739773988723755, 0.023362327367067337]	[-0.42797037959098816, 0.9915546774864197, 0.17700695991516113]	[-0.38961169123649597, 0.13074873387813568, 0.3009151518344879]	[-0.1997377574443817, 0.7523618936538696, 0.2587973177433014]	[-0.004576109815388918, -0.42827996611595154, -0.05008331313729286, 0.9022455215454102]	[0.005238298326730728, -0.12479954212903976, 0.017405562102794647, 0.9920154809951782]	[0.03627244010567665, 0.24938805401325226, 0.036462780088186264, 0.9670369029045105]	[-0.2116280049085617, -0.2630096971988678, -0.08665928989648819, 0.9372991323471069]	[-0.016159679740667343, -0.19220544397830963, 0.007259226404130459, 0.981194794178009]	[0.17522159218788147, -0.9032927751541138, 0.002192581770941615, -0.39160558581352234]
2024-07-17 10:45:23.583884	[-0.4715116024017334, 1.5703505277633667, 0.21796374022960663]	[-0.5556338429450989, 0.10392887890338898, 0.17467230558395386]	[-0.6400094032287598, 0.773982048034668, 0.02303363010287285]	[-0.4281848073005676, 0.9915578365325928, 0.17676053941249847]	[-0.38964128494262695, 0.1307346224784851, 0.3008882701396942]	[-0.19963115453720093, 0.752494215965271, 0.258684366941452]	[-0.004747748840600252, -0.4282412528991699, -0.05008199065923691, 0.9022631049156189]	[0.0051271975971758366, -0.12480486929416656, 0.017583144828677177, 0.9920123219490051]	[0.036780569702386856, 0.2495465725660324, 0.03625139966607094, 0.966984748840332]	[-0.2119157612323761, -0.26305633783340454, -0.08681539446115494, 0.9372065663337708]	[-0.01609754003584385, -0.19232642650604248, 0.00733283581212163, 0.9811716079711914]	[0.17564842104911804, -0.9034942984580994, 0.0003413599624764174, -0.3909547030925751]
2024-07-17 10:45:23.595221	[-0.47160008549690247, 1.5703554153442383, 0.21778781712055206]	[-0.555650532245636, 0.10393404960632324, 0.1746593564748764]	[-0.6400793194770813, 0.77398282289505, 0.02285829186439514]	[-0.42825406789779663, 0.9915581941604614, 0.17662301659584045]	[-0.3896602392196655, 0.1307608038187027, 0.3008822202682495]	[-0.1994442343711853, 0.7525031566619873, 0.2587582767009735]	[-0.004788455553352833, -0.42819809913635254, -0.050167158246040344, 0.9022786021232605]	[0.005107436794787645, -0.12480292469263077, 0.017748089507222176, 0.9920096397399902]	[0.03675194829702377, 0.24963557720184326, 0.03627229854464531, 0.9669620990753174]	[-0.2119067907333374, -0.2630710005760193, -0.08667653799057007, 0.9372173547744751]	[-0.016242628917098045, -0.19227568805217743, 0.007532642222940922, 0.9811776876449585]	[0.17416328191757202, -0.9039050340652466, 0.00011426797573221847, -0.39066970348358154]
2024-07-17 10:45:23.606562	[-0.4718242287635803, 1.5703575611114502, 0.21743740141391754]	[-0.5556649565696716, 0.10394003242254257, 0.1746370643377304]	[-0.6401184797286987, 0.7739010453224182, 0.022629359737038612]	[-0.42829424142837524, 0.9915370345115662, 0.1764519065618515]	[-0.38966619968414307, 0.13076673448085785, 0.30086374282836914]	[-0.1993832290172577, 0.7525414228439331, 0.25873613357543945]	[-0.004837418906390667, -0.42820703983306885, -0.05025361850857735, 0.9022693037986755]	[0.004974602721631527, -0.12484562397003174, 0.01790091209113598, 0.9920022487640381]	[0.03778880834579468, 0.24961332976818085, 0.036151036620140076, 0.966932475566864]	[-0.21184374392032623, -0.2630682587623596, -0.08640239387750626, 0.9372576475143433]	[-0.01638932153582573, -0.1926089972257614, 0.0076073091477155685, 0.9811092615127563]	[0.17449691891670227, -0.904030442237854, 0.0002042164996964857, -0.39023032784461975]
2024-07-17 10:45:23.617846	[-0.4719773232936859, 1.5703630447387695, 0.21724282205104828]	[-0.5556786060333252, 0.103924959897995, 0.17463280260562897]	[-0.6402384638786316, 0.7739108204841614, 0.022289831191301346]	[-0.42855194211006165, 0.9915533065795898, 0.1762511283159256]	[-0.3896803557872772, 0.13077393174171448, 0.3008401691913605]	[-0.19928590953350067, 0.752676248550415, 0.2587098479270935]	[-0.004823163151741028, -0.4282117187976837, -0.05033706873655319, 0.9022625088691711]	[0.004810057580471039, -0.12484897673130035, 0.017933957278728485, 0.992002010345459]	[0.03772981837391853, 0.2492656707763672, 0.036228444427251816, 0.9670215249061584]	[-0.21219655871391296, -0.26272332668304443, -0.08657331764698029, 0.9372588396072388]	[-0.016630617901682854, -0.19279387593269348, 0.0076897586695849895, 0.9810681939125061]	[0.17472177743911743, -0.9041690826416016, 0.0004118477809242904, -0.3898082673549652]
2024-07-17 10:45:23.629189	[-0.4721049964427948, 1.570372223854065, 0.21704630553722382]	[-0.5556768774986267, 0.10392751544713974, 0.17461584508419037]	[-0.6403369307518005, 0.7739318013191223, 0.02209574542939663]	[-0.4285537600517273, 0.9915422201156616, 0.17605313658714294]	[-0.3896888494491577, 0.13078704476356506, 0.30081772804260254]	[-0.19926190376281738, 0.7527471780776978, 0.2587257921695709]	[-0.00469875056296587, -0.428190678358078, -0.050468768924474716, 0.9022657871246338]	[0.004722400568425655, -0.12492280453443527, 0.01794462837278843, 0.9919929504394531]	[0.037287935614585876, 0.2484550178050995, 0.03655252978205681, 0.9672350287437439]	[-0.21203720569610596, -0.262647420167923, -0.086322121322155, 0.9373393654823303]	[-0.01674536056816578, -0.1928929090499878, 0.007714871782809496, 0.9810466170310974]	[0.17491313815116882, -0.9043325185775757, 0.000804177368991077, -0.38934239745140076]
2024-07-17 10:45:23.640503	[-0.4723774492740631, 1.5703682899475098, 0.2166852355003357]	[-0.5556871891021729, 0.10392075031995773, 0.17461374402046204]	[-0.6404937505722046, 0.7740170359611511, 0.021750012412667274]	[-0.42868807911872864, 0.9915778040885925, 0.1757183074951172]	[-0.3897201418876648, 0.13079772889614105, 0.3007696568965912]	[-0.19916799664497375, 0.7528514862060547, 0.25863051414489746]	[-0.00492021394893527, -0.4284053146839142, -0.050466395914554596, 0.9021628499031067]	[0.004185230936855078, -0.12502697110176086, 0.018404429778456688, 0.991973876953125]	[0.03694875165820122, 0.24797219038009644, 0.03642461821436882, 0.9673768281936646]	[-0.21213868260383606, -0.26241737604141235, -0.08590596914291382, 0.937419056892395]	[-0.016953878104686737, -0.1931261420249939, 0.0078118774108588696, 0.9809963703155518]	[0.17508894205093384, -0.9046269059181213, -0.00011271900439169258, -0.38857948780059814]
2024-07-17 10:45:23.651798	[-0.472552627325058, 1.570371150970459, 0.21647803485393524]	[-0.5557119846343994, 0.10396890342235565, 0.17458869516849518]	[-0.6405870914459229, 0.7740268707275391, 0.021530160680413246]	[-0.4288060963153839, 0.9915744066238403, 0.17554575204849243]	[-0.389745831489563, 0.13079901039600372, 0.3007408380508423]	[-0.19916905462741852, 0.7529217600822449, 0.25863948464393616]	[-0.005027636885643005, -0.42847856879234314, -0.050276391208171844, 0.9021381139755249]	[0.004434800241142511, -0.12496300786733627, 0.018333574756979942, 0.9919820427894592]	[0.03697611019015312, 0.24836519360542297, 0.036403968930244446, 0.9672757387161255]	[-0.2120898962020874, -0.2623770534992218, -0.08589886873960495, 0.9374421238899231]	[-0.017000190913677216, -0.19331932067871094, 0.008228963240981102, 0.9809540510177612]	[0.17505066096782684, -0.904890775680542, 0.00035898841451853514, -0.3879817724227905]
