timestamp	sai2::optitrack::rigid_body_pos::1	sai2::optitrack::rigid_body_pos::2	sai2::optitrack::rigid_body_pos::3	sai2::optitrack::rigid_body_pos::4	sai2::optitrack::rigid_body_pos::5	sai2::optitrack::rigid_body_pos::6	sai2::optitrack::rigid_body_ori::1	sai2::optitrack::rigid_body_ori::2	sai2::optitrack::rigid_body_ori::3	sai2::optitrack::rigid_body_ori::4	sai2::optitrack::rigid_body_ori::5	sai2::optitrack::rigid_body_ori::6
2024-07-17 10:47:16.079517	[-0.4823439121246338, 1.566733479499817, 0.18791377544403076]	[-0.5604874491691589, 0.10838659107685089, 0.15041109919548035]	[-0.6324384808540344, 0.7731103301048279, -0.04684020206332207]	[-0.4346311390399933, 0.994623601436615, 0.141744926571846]	[-0.3934919238090515, 0.11237238347530365, 0.24005645513534546]	[-0.1828642040491104, 0.7621832489967346, 0.24122363328933716]	[0.018596800044178963, -0.4333514869213104, -0.04890342801809311, 0.8997049927711487]	[-0.016231326386332512, -0.12839488685131073, 0.018375126644968987, 0.9914200305938721]	[0.032400328665971756, 0.21418961882591248, 0.0002647552755661309, 0.9762545824050903]	[-0.2199934870004654, -0.29409241676330566, -0.06551288813352585, 0.927804172039032]	[0.02584477886557579, -0.2960725724697113, -0.00456894701346755, 0.9548048377037048]	[-0.3242615759372711, 0.8655803203582764, 0.09999831020832062, 0.36827364563941956]
2024-07-17 10:47:16.090820	[-0.4823346436023712, 1.5667012929916382, 0.18782904744148254]	[-0.5604873299598694, 0.10838949680328369, 0.15040697157382965]	[-0.6326362490653992, 0.7731003761291504, -0.04674266651272774]	[-0.43504709005355835, 0.9946956634521484, 0.14188280701637268]	[-0.39348798990249634, 0.11235882341861725, 0.24006293714046478]	[-0.1830029934644699, 0.7621051669120789, 0.24136750400066376]	[0.018573807552456856, -0.43351390957832336, -0.0486890934407711, 0.8996388912200928]	[-0.01606246829032898, -0.12842772901058197, 0.01837342232465744, 0.9914186000823975]	[0.032451082020998, 0.21438385546207428, -0.00011954805086134002, 0.9762102365493774]	[-0.2182677537202835, -0.29449304938316345, -0.06594175845384598, 0.9280542135238647]	[0.025749506428837776, -0.29605618119239807, -0.004335774574428797, 0.954813539981842]	[-0.32380563020706177, 0.8657673001289368, 0.09957092255353928, 0.36835137009620667]
2024-07-17 10:47:16.102050	[-0.4823355972766876, 1.5666999816894531, 0.1877937763929367]	[-0.5604925155639648, 0.10837239027023315, 0.15040722489356995]	[-0.6327535510063171, 0.773064911365509, -0.04667583107948303]	[-0.43477925658226013, 0.99467533826828, 0.1417735069990158]	[-0.39349135756492615, 0.11235418170690536, 0.24005559086799622]	[-0.183100625872612, 0.7620445489883423, 0.2414434403181076]	[0.018731113523244858, -0.43352457880973816, -0.048720963299274445, 0.899628758430481]	[-0.01610439270734787, -0.12845510244369507, 0.018357835710048676, 0.9914146065711975]	[0.03232390061020851, 0.21430794894695282, 6.052163371350616e-06, 0.9762311577796936]	[-0.2188315987586975, -0.2940117418766022, -0.06552037596702576, 0.9281039237976074]	[0.025705775246024132, -0.29609790444374084, -0.004541398026049137, 0.9548008441925049]	[-0.32350844144821167, 0.8657602071762085, 0.09947315603494644, 0.36865517497062683]
2024-07-17 10:47:16.114220	[-0.48234957456588745, 1.566686987876892, 0.18774697184562683]	[-0.5604995489120483, 0.10838277637958527, 0.15040627121925354]	[-0.6328374743461609, 0.7730357646942139, -0.04659956693649292]	[-0.4346838593482971, 0.9946404099464417, 0.14176009595394135]	[-0.3934904932975769, 0.11236288398504257, 0.24005694687366486]	[-0.1832026243209839, 0.7619696259498596, 0.24153731763362885]	[0.018812092021107674, -0.4334816634654999, -0.048712339252233505, 0.8996482491493225]	[-0.016084909439086914, -0.12848523259162903, 0.018385309725999832, 0.9914105534553528]	[0.032256435602903366, 0.21439053118228912, -9.431950456928462e-05, 0.9762152433395386]	[-0.21943995356559753, -0.29402977228164673, -0.06539463251829147, 0.9279634952545166]	[0.025727804750204086, -0.296063095331192, -0.004423346370458603, 0.9548115730285645]	[-0.3234444260597229, 0.865775465965271, 0.09918323904275894, 0.36875367164611816]
2024-07-17 10:47:16.125527	[-0.48233574628829956, 1.5666747093200684, 0.18770989775657654]	[-0.5605041980743408, 0.1083824634552002, 0.15040431916713715]	[-0.6329993605613708, 0.7729970812797546, -0.04642477631568909]	[-0.4344516694545746, 0.9945337772369385, 0.14170950651168823]	[-0.3934977054595947, 0.11234778165817261, 0.24005059897899628]	[-0.18341156840324402, 0.7618332505226135, 0.24172869324684143]	[0.01867099106311798, -0.43347832560539246, -0.04859452322125435, 0.8996591567993164]	[-0.016120759770274162, -0.12848901748657227, 0.01846756413578987, 0.9914079308509827]	[0.03197634965181351, 0.2145635336637497, -0.00029075329075567424, 0.9761863946914673]	[-0.21954122185707092, -0.29409489035606384, -0.06485403329133987, 0.9279568195343018]	[0.025811363011598587, -0.29603099822998047, -0.004487548489123583, 0.9548189640045166]	[-0.32337141036987305, 0.8656810522079468, 0.09937205910682678, 0.36898836493492126]
2024-07-17 10:47:16.136752	[-0.482317715883255, 1.566660761833191, 0.1876853108406067]	[-0.5605112314224243, 0.10837467014789581, 0.15039826929569244]	[-0.6330634951591492, 0.7729581594467163, -0.04634523391723633]	[-0.4344991445541382, 0.9945343136787415, 0.14167903363704681]	[-0.3934938311576843, 0.11235350370407104, 0.24004526436328888]	[-0.18351739645004272, 0.7617495656013489, 0.24180184304714203]	[0.018836883828043938, -0.4334125220775604, -0.048638634383678436, 0.8996849656105042]	[-0.016005070880055428, -0.1285184621810913, 0.018332747742533684, 0.9914085268974304]	[0.03203350678086281, 0.2144656628370285, -0.00045223062625154853, 0.9762060642242432]	[-0.21935011446475983, -0.29400646686553955, -0.06496691703796387, 0.9280220866203308]	[0.025593992322683334, -0.29602834582328796, -0.004427514038980007, 0.9548259377479553]	[-0.3231687843799591, 0.8659102916717529, 0.09906727075576782, 0.36870986223220825]
2024-07-17 10:47:16.148190	[-0.4822997450828552, 1.5666569471359253, 0.1876462996006012]	[-0.5605162978172302, 0.1083841323852539, 0.15041707456111908]	[-0.6330940127372742, 0.7729285955429077, -0.04626088589429855]	[-0.4344271719455719, 0.9944730401039124, 0.14169321954250336]	[-0.39348727464675903, 0.11235901713371277, 0.24004527926445007]	[-0.18364045023918152, 0.7616679668426514, 0.24188098311424255]	[0.018847322091460228, -0.43335407972335815, -0.048555124551057816, 0.899717390537262]	[-0.016219213604927063, -0.1285165697336197, 0.018289685249328613, 0.9914060831069946]	[0.03175296261906624, 0.2145044505596161, -0.0005133163067512214, 0.9762066006660461]	[-0.2196878045797348, -0.2941461205482483, -0.06481076776981354, 0.9279088973999023]	[0.025546759366989136, -0.29604026675224304, -0.004483592230826616, 0.9548233151435852]	[-0.32311463356018066, 0.8658273816108704, 0.09904265403747559, 0.36895865201950073]
2024-07-17 10:47:16.159485	[-0.48223966360092163, 1.5666261911392212, 0.1875768005847931]	[-0.5605173707008362, 0.10836333781480789, 0.150407075881958]	[-0.6331842541694641, 0.772881269454956, -0.04604312404990196]	[-0.4344347417354584, 0.9944626688957214, 0.1416504979133606]	[-0.39349496364593506, 0.1123465895652771, 0.24004998803138733]	[-0.1838967651128769, 0.7615889310836792, 0.2418701946735382]	[0.01899370364844799, -0.4330791234970093, -0.0486551895737648, 0.89984130859375]	[-0.016032619401812553, -0.12855932116508484, 0.018317444249987602, 0.9914030432701111]	[0.03169889748096466, 0.2146415114402771, -0.0005565859610214829, 0.9761782288551331]	[-0.2194204032421112, -0.2939784824848175, -0.06480357050895691, 0.9280257821083069]	[0.02567690797150135, -0.29605597257614136, -0.004309635143727064, 0.9548157453536987]	[-0.321386456489563, 0.8663544058799744, 0.10044743120670319, 0.3688512444496155]
2024-07-17 10:47:16.170873	[-0.4822061061859131, 1.5666240453720093, 0.18755649030208588]	[-0.5605306029319763, 0.10836699604988098, 0.15041908621788025]	[-0.6332136392593384, 0.7728397250175476, -0.045927297323942184]	[-0.43443241715431213, 0.994471549987793, 0.1416417360305786]	[-0.3934898376464844, 0.11233517527580261, 0.24005542695522308]	[-0.1840307116508484, 0.7615035772323608, 0.24192681908607483]	[0.01912827417254448, -0.43293681740760803, -0.0487079881131649, 0.8999040722846985]	[-0.016069529578089714, -0.1284870058298111, 0.018395138904452324, 0.9914104342460632]	[0.03160123527050018, 0.2147361785173416, -0.0005230046808719635, 0.9761606454849243]	[-0.2193327695131302, -0.2939455807209015, -0.06468284875154495, 0.928065299987793]	[0.025604410097002983, -0.2960895001888275, -0.004331017378717661, 0.9548071622848511]	[-0.32124507427215576, 0.8665645122528076, 0.09998805075883865, 0.36860573291778564]
2024-07-17 10:47:16.182210	[-0.4821556508541107, 1.566615104675293, 0.18749554455280304]	[-0.5605268478393555, 0.10837189853191376, 0.15041756629943848]	[-0.6332712769508362, 0.7727881669998169, -0.045677244663238525]	[-0.43444836139678955, 0.9944556355476379, 0.14163029193878174]	[-0.3934931755065918, 0.11235073953866959, 0.24004240334033966]	[-0.1843259334564209, 0.7614153027534485, 0.24204307794570923]	[0.019266273826360703, -0.43263304233551025, -0.0488569512963295, 0.9000391364097595]	[-0.016066571697592735, -0.12849999964237213, 0.01841260865330696, 0.9914084076881409]	[0.031440190970897675, 0.2146216183900833, -0.0006538991583511233, 0.9761908650398254]	[-0.21930626034736633, -0.29398298263549805, -0.06472814828157425, 0.9280565977096558]	[0.025681152939796448, -0.29603877663612366, -0.004225112032145262, 0.9548212885856628]	[-0.32103848457336426, 0.8665771484375, 0.09954743832349777, 0.368875116109848]
